PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	YOSHIDA, T; KIMURA, MT				YOSHIDA, T; KIMURA, MT			SOME EFFECTS OF LOW-TEMPERATURE ON THE PHOTOPERIODIC CLOCK IN DROSOPHILA-TRIAURARIA	PHYSIOLOGICAL ENTOMOLOGY																						3	3						0307-6962					MAR	1994	19	1					83	87		10.1111/j.1365-3032.1994.tb01078.x								WOS:A1994ND65600012						
J	EIZAGUIRRE, M; LOPEZ, C; ASIN, L; ALBAJES, R				EIZAGUIRRE, M; LOPEZ, C; ASIN, L; ALBAJES, R			THERMOPERIODISM, PHOTOPERIODISM AND SENSITIVE STAGE IN THE DIAPAUSE INDUCTION OF SESAMIA NONAGRIOIDES (LEPIDOPTERA, NOCTUIDAE)	JOURNAL OF INSECT PHYSIOLOGY																Eizaguirre, Matilde/B-4109-2011; Albajes, Ramon/A-7835-2011; Lopez, Carmen/K-9280-2014	Lopez, Carmen/0000-0001-5447-009X					49	58						0022-1910					FEB	1994	40	2					113	119		10.1016/0022-1910(94)90082-5								WOS:A1994MX06800003						
S	ATKINSON, D		Begon, M; Fitter, AH		ATKINSON, D			TEMPERATURE AND ORGANISM SIZE - A BIOLOGICAL LAW FOR ECTOTHERMS	ADVANCES IN ECOLOGICAL RESEARCH, VOL 25	Advances in Ecological Research															Atkinson, David/D-4664-2009	Atkinson, David/0000-0002-9956-2454					1018	1058						0065-2504		0-12-013925-1				1994	25						1	58		10.1016/S0065-2504(08)60212-3								WOS:A1994BD99C00001						
J	WILLIAMS, KD; SOKOLOWSKI, MB				WILLIAMS, KD; SOKOLOWSKI, MB			DIAPAUSE IN DROSOPHILA-MELANOGASTER FEMALES - A GENETIC-ANALYSIS	HEREDITY																Williams, Karen/B-9958-2011						37	38						0018-067X					SEP	1993	71		3				312	317		10.1038/hdy.1993.141								WOS:A1993LW73100013	8407357					
J	KIMURA, MT; BESSHO, A; DAI, ZH				KIMURA, MT; BESSHO, A; DAI, ZH			THE INFLUENCE OF GENE FLOW ON LATITUDINAL CLINES OF PHOTOPERIODIC ADULT DIAPAUSE IN THE DROSOPHILA-AURARIA SPECIES-COMPLEX	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																						14	14						0024-4066	1095-8312				APR	1993	48	4					335	341										WOS:A1993LG25100004						
J	YOSHIDA, T; KIMURA, MT				YOSHIDA, T; KIMURA, MT			THE PHOTOPERIODIC CLOCK OF DROSOPHILA-TRIAURARIA - INVOLVEMENT OF A CIRCADIAN OSCILLATORY SYSTEM	JOURNAL OF INSECT PHYSIOLOGY																						12	12						0022-1910					MAR	1993	39	3					223	228		10.1016/0022-1910(93)90092-6								WOS:A1993KV16800005						
J	KOVEOS, DS; KROON, A; VEERMAN, A				KOVEOS, DS; KROON, A; VEERMAN, A			GEOGRAPHIC-VARIATION OF DIAPAUSE INTENSITY IN THE SPIDER-MITE TETRANYCHUS-URTICAE	PHYSIOLOGICAL ENTOMOLOGY																						25	29						0307-6962					MAR	1993	18	1					50	56		10.1111/j.1365-3032.1993.tb00448.x								WOS:A1993KT35600007						
J	YOSHIDA, T; KIMURA, MT				YOSHIDA, T; KIMURA, MT			THE PHOTOPERIODIC CLOCK OF DROSOPHILA-TRIAURARIA - INVOLVEMENT OF 2 PROCESSES IN THE NIGHT-LENGTH MEASUREMENT SYSTEM	JOURNAL OF INSECT PHYSIOLOGY																						8	9						0022-1910					FEB	1993	39	2					101	106		10.1016/0022-1910(93)90100-6								WOS:A1993KP71000002						
J	OHTSU, T; KATAGIRI, C; KIMURA, MT; HORI, SH				OHTSU, T; KATAGIRI, C; KIMURA, MT; HORI, SH			COLD ADAPTATIONS IN DROSOPHILA - QUALITATIVE CHANGES OF TRIACYLGLYCEROLS WITH RELATION TO OVERWINTERING	JOURNAL OF BIOLOGICAL CHEMISTRY																						63	63						0021-9258					JAN 25	1993	268	3					1830	1834										WOS:A1993KH62000052	8420958					
J	OHTSU, T; KIMURA, MT; HORI, SH				OHTSU, T; KIMURA, MT; HORI, SH			ENERGY-STORAGE DURING REPRODUCTIVE DIAPAUSE IN THE DROSOPHILA-MELANOGASTER SPECIES GROUP	JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY																						52	54						0174-1578					APR	1992	162	3					203	208		10.1007/BF00357524								WOS:A1992HR19100002	1613157					
J	GROETERS, FR; SHAW, DD				GROETERS, FR; SHAW, DD			ASSOCIATION BETWEEN LATITUDINAL VARIATION FOR EMBRYONIC-DEVELOPMENT TIME AND CHROMOSOME STRUCTURE IN THE GRASSHOPPER CALEDIA-CAPTIVA (ORTHOPTERA, ACRIDIDAE)	EVOLUTION																						19	19						0014-3820					FEB	1992	46	1					245	257		10.1111/j.1558-5646.1992.tb01999.x								WOS:A1992HD99300020	28564964					
J	GROETERS, FR				GROETERS, FR			GEOGRAPHIC CONSERVATISM OF DEVELOPMENT RATE IN THE MILKWEED-OLEANDER APHID, APHIS-NERII	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY																						14	19						1146-609X						1992	13	6					649	661										WOS:A1992KW67900001						
J	BURLA, H; BACHLI, G				BURLA, H; BACHLI, G			A SEARCH FOR PATTERN IN FAUNISTICAL RECORDS OF DROSOPHILID SPECIES IN SWITZERLAND	ZEITSCHRIFT FUR ZOOLOGISCHE SYSTEMATIK UND EVOLUTIONSFORSCHUNG																						3	6						0044-3808					SEP	1991	29	3					176	200										WOS:A1991GH81100003						
J	CHEN, CP; DENLINGER, DL; LEE, RE				CHEN, CP; DENLINGER, DL; LEE, RE			SEASONAL-VARIATION IN GENERATION TIME, DIAPAUSE AND COLD HARDINESS IN A CENTRAL OHIO POPULATION OF THE FLESH FLY, SARCOPHAGA-BULLATA	ECOLOGICAL ENTOMOLOGY																						15	15						0307-6946					MAY	1991	16	2					155	162		10.1111/j.1365-2311.1991.tb00204.x								WOS:A1991FP26100003						
J	GLITHO, IA; LENGA, A; HUIGNARD, J				GLITHO, IA; LENGA, A; HUIGNARD, J			INTENSITY OF THE MALE REPRODUCTIVE DIAPAUSE IN BRUCHIDIUS-ATROLINEATUS PIC COLEOPTERA BRUCHIDAE IS AFFECTED BY INDUCTION CONDITIONS	INVERTEBRATE REPRODUCTION & DEVELOPMENT																						10	12						0168-8170					FEB	1991	19	3					233	243										WOS:A1991FP48500008						
J	MOUSSEAU, TA; DINGLE, H				MOUSSEAU, TA; DINGLE, H			MATERNAL EFFECTS IN INSECT LIFE HISTORIES	ANNUAL REVIEW OF ENTOMOLOGY																						433	449						0066-4170						1991	36						511	534		10.1146/annurev.en.36.010191.002455								WOS:A1991EQ80700022						
J	DENNIS, RLH; SHREEVE, TG				DENNIS, RLH; SHREEVE, TG			CLIMATIC-CHANGE AND THE BRITISH BUTTERFLY FAUNA - OPPORTUNITIES AND CONSTRAINTS	BIOLOGICAL CONSERVATION																						61	66						0006-3207						1991	55	1					1	16		10.1016/0006-3207(91)90002-Q								WOS:A1991EJ04500001						
J	OBRYCKI, JJ; GABRIEL, AD; ORR, CJ; BING, JW				OBRYCKI, JJ; GABRIEL, AD; ORR, CJ; BING, JW			DORMANCY IN THE STRAWBERRY LEAFROLLER (LEPIDOPTERA, TORTRICIDAE)	ENVIRONMENTAL ENTOMOLOGY																						3	3						0046-225X					AUG	1990	19	4					932	936		10.1093/ee/19.4.932								WOS:A1990DV80000018						
J	KNUTSON, AE; GILSTRAP, FE				KNUTSON, AE; GILSTRAP, FE			LIFE-TABLES AND POPULATION-DYNAMICS OF THE SOUTHWESTERN CORN-BORER (LEPIDOPTERA, PYRALIDAE) IN TEXAS CORN	ENVIRONMENTAL ENTOMOLOGY																						11	11						0046-225X					JUN	1990	19	3					684	696		10.1093/ee/19.3.684								WOS:A1990DK04800040						
J	MCCAULEY, DE; BREDEN, FJ; CHIPPENDALE, GM; MIHM, JA				MCCAULEY, DE; BREDEN, FJ; CHIPPENDALE, GM; MIHM, JA			GENETIC DIFFERENTIATION OF POPULATIONS OF THE SOUTHWESTERN CORN-BORER (LEPIDOPTERA, PYRALIDAE) FROM THE UNITED-STATES AND MEXICO	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA																	Breden, Felix/0000-0001-9762-6314					4	4						0013-8746					MAY	1990	83	3					586	590		10.1093/aesa/83.3.586								WOS:A1990DC40200033						
J	KIMURA, MT				KIMURA, MT			QUANTITATIVE RESPONSE TO PHOTOPERIOD DURING REPRODUCTIVE DIAPAUSE IN THE DROSOPHILA-AURARIA SPECIES-COMPLEX	JOURNAL OF INSECT PHYSIOLOGY																						33	36						0022-1910						1990	36	3					147	152		10.1016/0022-1910(90)90115-V								WOS:A1990CY23500001						
J	DENNIS, RLH; SHREEVE, TG				DENNIS, RLH; SHREEVE, TG			BUTTERFLY WING MORPHOLOGY VARIATION IN THE BRITISH-ISLES - THE INFLUENCE OF CLIMATE, BEHAVIORAL POSTURE AND THE HOSTPLANT-HABITAT	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY																						42	42						0024-4066					DEC	1989	38	4					323	348		10.1111/j.1095-8312.1989.tb01581.x								WOS:A1989CG88100002						
J	KNUTSON, AE; JACKMAN, JA; CRONHOLM, GB; NG, SS; DAVIS, FM; MORRISON, WP				KNUTSON, AE; JACKMAN, JA; CRONHOLM, GB; NG, SS; DAVIS, FM; MORRISON, WP			TEMPERATURE-DEPENDENT MODEL FOR PREDICTING EMERGENCE OF ADULT SOUTHWESTERN CORN-BORER (LEPIDOPTERA, PYRALIDAE) IN TEXAS	JOURNAL OF ECONOMIC ENTOMOLOGY																						2	2						0022-0493					AUG	1989	82	4					1230	1236		10.1093/jee/82.4.1230								WOS:A1989AJ48100042						
J	CHIPPENDALE, GM; CONNOR, KL				CHIPPENDALE, GM; CONNOR, KL			FACTORS CONTROLLING POPULATIONS AND DISPERSAL OF THE SOUTHWESTERN CORN-BORER, DIATRAEA-GRANDIOSELLA DYAR LEPIDOPTERA, PYRALIDAE, IN THE UNITED-STATES	SOUTHWESTERN ENTOMOLOGIST																						2	2						0147-1724					JUN	1989	14	2					182	190										WOS:A1989U948700013						
J	BECK, SD				BECK, SD			FACTORS INFLUENCING THE INTENSITY OF LARVAL DIAPAUSE IN OSTRINIA-NUBILALIS	JOURNAL OF INSECT PHYSIOLOGY																						24	27						0022-1910						1989	35	2					75	79		10.1016/0022-1910(89)90039-5								WOS:A1989R694900001						
J	PULLIN, AS; BALE, JS				PULLIN, AS; BALE, JS			EFFECTS OF LOW-TEMPERATURE ON DIAPAUSING AGLAIS-URTICAE AND INACHIS-IO (LEPIDOPTERA, NYMPHALIDAE) - COLD HARDINESS AND OVERWINTERING SURVIVAL	JOURNAL OF INSECT PHYSIOLOGY																						49	50						0022-1910						1989	35	4					277	281		10.1016/0022-1910(89)90075-9								WOS:A1989U402200003						
J	KIMURA, MT				KIMURA, MT			ADAPTATIONS TO TEMPERATE CLIMATES AND EVOLUTION OF OVERWINTERING STRATEGIES IN THE DROSOPHILA-MELANOGASTER SPECIES GROUP	EVOLUTION																						87	92						0014-3820					NOV	1988	42	6					1288	1297		10.2307/2409012								WOS:A1988Q952900015	28581072					
J	KIMURA, MT				KIMURA, MT			MALE MATING ACTIVITY AND GENETIC-ASPECTS IN IMAGINAL DIAPAUSE OF DROSOPHILA-TRIAURARIA	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA																						17	17						0013-8703					APR	1988	47	1					81	88		10.1111/j.1570-7458.1988.tb02285.x								WOS:A1988N346300011						
J	Kimura, MT				Kimura, M. T.			Interspecific and geographic variation of diapause intensity and seasonal adaptation in the Drosophila auraria species complex (Diptera: Drosophilidae)	FUNCTIONAL ECOLOGY																						27	30						0269-8463						1988	2	2					177	183		10.2307/2389693								WOS:000208584300007						
J	HONEK, A; KOCOUREK, F				HONEK, A; KOCOUREK, F			THERMAL REQUIREMENTS FOR DEVELOPMENT OF APHIDOPHAGOUS COCCINELLIDAE (COLEOPTERA), CHRYSOPIDAE, HEMEROBIIDAE (NEUROPTERA), AND SYRPHIDAE (DIPTERA) - SOME GENERAL TRENDS	OECOLOGIA																						68	78						0029-8549						1988	76	3					455	460										WOS:A1988P639200019	28312027					
J	CHEN, CP; DENLINGER, DL; LEE, RE				CHEN, CP; DENLINGER, DL; LEE, RE			RESPONSES OF NONDIAPAUSING FLESH FLIES (DIPTERA, SARCOPHAGIDAE) TO LOW REARING TEMPERATURES - DEVELOPMENTAL RATE, COLD TOLERANCE, AND GLYCEROL CONCENTRATIONS	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA																						35	37						0013-8746					NOV	1987	80	6					790	796		10.1093/aesa/80.6.790								WOS:A1987T983900014						
J	TAUBER, CA; TAUBER, MJ; NECHOLS, JR				TAUBER, CA; TAUBER, MJ; NECHOLS, JR			THERMAL REQUIREMENTS FOR DEVELOPMENT IN CHRYSOPA-OCULATA - A GEOGRAPHICALLY STABLE TRAIT	ECOLOGY																						52	61						0012-9658					OCT	1987	68	5					1479	1487		10.2307/1939231								WOS:A1987K221900033						
J	GALKA, BE; BRUST, RA				GALKA, BE; BRUST, RA			THE EFFECT OF TEMPERATURE AND PHOTOPERIOD ON THE INDUCTION OF LARVAL DIAPAUSE IN THE MOSQUITO AEDES-TOGOI (THEOBALD) (DIPTERA, CULICIDAE)	CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE																						8	9						0008-4301					SEP	1987	65	9					2262	2265		10.1139/z87-341								WOS:A1987K609200015						
J	ROCKEY, SJ; HAINZE, JH; SCRIBER, JM				ROCKEY, SJ; HAINZE, JH; SCRIBER, JM			A LATITUDINAL AND OBLIGATORY DIAPAUSE RESPONSE IN 3 SUBSPECIES OF THE EASTERN TIGER SWALLOWTAIL PAPILIO-GLAUCUS (LEPIDOPTERA, PAPILIONIDAE)	AMERICAN MIDLAND NATURALIST																						17	17						0003-0031					JUL	1987	118	1					162	168		10.2307/2425639								WOS:A1987J978300018						
J	WILLIAMS, TF; PLATT, AP				WILLIAMS, TF; PLATT, AP			ABSENCE OF DIAPAUSE IN A LABORATORY STRAIN OF THE FLORIDA VICEROY BUTTERFLY	AMERICAN MIDLAND NATURALIST																						0	0						0003-0031					APR	1987	117	2					346	352		10.2307/2425976								WOS:A1987H498300013						
J	PULLIN, AS				PULLIN, AS			ADULT FEEDING TIME, LIPID-ACCUMULATION, AND OVERWINTERING IN AGLAIS-URTICAE AND INACHIS-IO (LEPIDOPTERA, NYMPHALIDAE)	JOURNAL OF ZOOLOGY																						42	46						0952-8369					APR	1987	211		4				631	641		10.1111/j.1469-7998.1987.tb04476.x								WOS:A1987H173700006						
J	LANKINEN, P				LANKINEN, P			GEOGRAPHICAL VARIATION IN CIRCADIAN ECLOSION RHYTHM AND PHOTOPERIODIC ADULT DIAPAUSE IN DROSOPHILA-LITTORALIS	JOURNAL OF COMPARATIVE PHYSIOLOGY A-SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY																						82	84						0340-7594						1986	159	1					123	142		10.1007/BF00612503								WOS:A1986D450200015						
J	THORNTON, IWB				THORNTON, IWB			THE GEOGRAPHICAL AND ECOLOGICAL DISTRIBUTION OF ARBOREAL PSOCOPTERA	ANNUAL REVIEW OF ENTOMOLOGY																						16	16						0066-4170						1985	30						175	196										WOS:A1985TZ30000009						
J	PARKER, BM				PARKER, BM			EFFECTS OF PHOTOPERIOD ON THE INDUCTION OF EMBRYONIC DIAPAUSE IN AEDES-TAENIORHYNCHUS (DIPTERA, CULICIDAE)	JOURNAL OF MEDICAL ENTOMOLOGY																						8	8						0022-2585						1985	22	4					392	397		10.1093/jmedent/22.4.392								WOS:A1985ANQ6600008	4045935					
J	GALLAWAY, WJ				GALLAWAY, WJ			LARVAL DIAPAUSE IN AEDES-HENDERSONI AND AEDES-TRISERIATUS FROM SOUTHERN MANITOBA	JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION																						2	3						8756-971X						1985	1	1					92	93										WOS:A1985AFX6500021	3880218					
J	HODKOVA; PITTENDRIGH; SAUNDERS; CHIPPENDALE; REYNOLDS; SOKOLOVE; BOWEN; TRUMAN; BRADY; GILBERT; MORDUE; ROBERTS; TRUMAN; HARDIE				HODKOVA; PITTENDRIGH; SAUNDERS; CHIPPENDALE; REYNOLDS; SOKOLOVE; BOWEN; TRUMAN; BRADY; GILBERT; MORDUE; ROBERTS; TRUMAN; HARDIE			THE CIRCADIAN COMPONENT IN PHOTOPERIODIC INDUCTION - DISCUSSION	CIBA FOUNDATION SYMPOSIA																						0	0						0300-5208						1984	104						41	47										WOS:A1984SK52800006						
J	BRADSHAW, WE; HOLZAPFEL, CM				BRADSHAW, WE; HOLZAPFEL, CM			SEASONAL DEVELOPMENT OF TREE-HOLE MOSQUITOS (DIPTERA, CULICIDAE) AND CHAOBORIDS IN RELATION TO WEATHER AND PREDATION	JOURNAL OF MEDICAL ENTOMOLOGY																						20	20						0022-2585						1984	21	4					366	378		10.1093/jmedent/21.4.366								WOS:A1984TC38900002						
J	GRIMSTAD, PR				GRIMSTAD, PR			MOSQUITOS AND THE INCIDENCE OF ENCEPHALITIS	ADVANCES IN VIRUS RESEARCH																						35	38						0065-3527						1983	28						357	438		10.1016/S0065-3527(08)60727-7								WOS:A1983RU26100008	6140828					
J	LOUNIBOS, LP; ESCHER, RL				LOUNIBOS, LP; ESCHER, RL			SEASONALITY AND SAMPLING OF COQUILLETTIDIA-PERTURBANS (DIPTERA, CULICIDAE) IN SOUTH FLORIDA	ENVIRONMENTAL ENTOMOLOGY																						17	17						0046-225X						1983	12	4					1087	1093		10.1093/ee/12.4.1087								WOS:A1983RC39800017						
J	KIKUKAWA, S; CHIPPENDALE, GM				KIKUKAWA, S; CHIPPENDALE, GM			SEASONAL ADAPTATIONS OF POPULATIONS OF THE SOUTHWESTERN CORN-BORER, DIATRAEA-GRANDIOSELLA, FROM TROPICAL AND TEMPERATE REGIONS	JOURNAL OF INSECT PHYSIOLOGY																						16	23						0022-1910						1983	29	7					561	567		10.1016/0022-1910(83)90021-5								WOS:A1983QZ32100002						
J	SIMS, SR; MUNSTERMANN, LE				SIMS, SR; MUNSTERMANN, LE			EGG AND LARVAL DIAPAUSE IN 2 POPULATIONS OF AEDES-GENICULATUS (DIPTERA, CULICIDAE)	JOURNAL OF MEDICAL ENTOMOLOGY																						8	9						0022-2585						1983	20	3					263	271		10.1093/jmedent/20.3.263								WOS:A1983QT09800004	6876090					
J	SHROYER, DA; CRAIG, GB				SHROYER, DA; CRAIG, GB			EGG DIAPAUSE IN AEDES-TRISERIATUS (DIPTERA, CULICIDAE) - GEOGRAPHIC-VARIATION IN PHOTOPERIODIC RESPONSE AND FACTORS INFLUENCING DIAPAUSE TERMINATION	JOURNAL OF MEDICAL ENTOMOLOGY																						23	26						0022-2585						1983	20	6					601	607		10.1093/jmedent/20.6.601								WOS:A1983RT43000005	6644756					
J	SAUNDERS, DS				SAUNDERS, DS			INSECT PHOTOPERIODISM - THE CLOCK AND THE COUNTER - A REVIEW	PHYSIOLOGICAL ENTOMOLOGY																						85	93						0307-6962						1981	6	1					99	116		10.1111/j.1365-3032.1981.tb00264.x								WOS:A1981LC61600012						
J	BELL, CH; BOWLEY, CR; COGAN, PM; SHARMA, S				BELL, CH; BOWLEY, CR; COGAN, PM; SHARMA, S			DIAPAUSE IN 23 POPULATIONS OF PLODIA-INTERPUNCTELLA (HUBNER) (LEP, PYRALIDAE) FROM DIFFERENT PARTS OF THE WORLD	ECOLOGICAL ENTOMOLOGY																						20	21						0307-6946						1979	4	3					193	197		10.1111/j.1365-2311.1979.tb00575.x								WOS:A1979HG26000001						
